变更类型,报文ID(HEX),报文名称,信号名称,变更字段,旧值,新值
信号-新增,0x123,EMS_SysSts1_10ms,EnPrignTotCnt,定义,,"起始位=71,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x196,CCU_ChassisInfo1_10ms,VMM_SusBrkCtrlReq,定义,,"起始位=248,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x219,DZCU_DrLockCtrl_20ms,DZCU_RChildProtnLckSts,定义,,"起始位=252,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x219,DZCU_DrLockCtrl_20ms,DZCU_RRDoorLckSts,定义,,"起始位=249,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x219,DZCU_DrLockCtrl_20ms,DZCU_RRDoorSts,定义,,"起始位=251,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x259,PZCU_BodySts_20ms,PZCU_LChildProtnLckSts,定义,,"起始位=72,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x259,PZCU_BodySts_20ms,PZCU_RLDoorLckSts,定义,,"起始位=87,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x259,PZCU_BodySts_20ms,PZCU_RLDoorSts,定义,,"起始位=74,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x342,CCU_Info3_50ms,AtuoChrgRobarmMoveSts,定义,,"起始位=102,长度=3,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x342,CCU_Info3_50ms,RoadClass,定义,,"起始位=99,长度=4,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x399,DZCU_BodyCtrl_100ms,RLWndPcntMvCmd,定义,,"起始位=44,长度=7,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-修改,0x39A,BZCU_SeatCtrl_100ms,BZCU_DrSeatPosChng,值表,"{0: 'No Command', 1: 'No change', 2: 'Changed', 3: 'Invalid'}","{0: 'No change', 1: 'Changed', 2: 'Reserved', 3: 'Reserved'}"
信号-修改,0x39A,BZCU_SeatCtrl_100ms,BZCU_PsngSeatPosChng,值表,"{0: 'No Command', 1: 'No change', 2: 'Changed', 3: 'Invalid'}","{0: 'No change', 1: 'Changed', 2: 'Reserved', 3: 'Reserved'}"
信号-修改,0x39A,BZCU_SeatCtrl_100ms,PsngEasyEntCfg,值表,"{0: 'Active', 1: 'Inactive'}","{0: 'Inactive', 1: 'Active'}"
信号-修改,0x3EC,BZCU_SecSeatSts_100ms,SecLSeatPosChng,值表,"{0: 'No Command', 1: 'No change', 2: 'Changed', 3: 'Invalid'}","{0: 'No change', 1: 'Changed', 2: 'Reserved', 3: 'Reserved'}"
信号-修改,0x3EC,BZCU_SecSeatSts_100ms,SecRSeatPosChng,值表,"{0: 'No Command', 1: 'No change', 2: 'Changed', 3: 'Invalid'}","{0: 'No change', 1: 'Changed', 2: 'Reserved', 3: 'Reserved'}"
信号-修改,0x505,PZCU_BodySts5_100ms,PZCU_PsngSeatPosChng,值表,"{0: 'No Command', 1: 'No change', 2: 'Changed', 3: 'Invalid'}","{0: 'No change', 1: 'Changed', 2: 'Reserved', 3: 'Reserved'}"
报文-修改,0x522,RRSCU_Sts11_100ms_GW,,属性.GenMsgStartDelayTime,0.0,65.0
信号-新增,0x522,RRSCU_Sts11_100ms_GW,PsngSeatMovReq,定义,,"起始位=63,长度=4,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x52C,DZCU_BodySts4_100ms,BLEHoodCtrlReq,定义,,"起始位=300,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
