变更类型,报文ID(HEX),报文名称,信号名称,变更字段,旧值,新值
报文-新增,0x1FFC0007,PZCU_Monitor4_1000ms,,DLC,,8
报文-新增,0x1FFC0007,PZCU_Monitor4_1000ms,,发送节点,,PZCU
信号-新增,0x1FFC0007,PZCU_Monitor4_1000ms,VehMaxCrntIn1Sec,定义,,"起始位=7,长度=14,字节序=Motorola(大端),因子=0.1,偏移=0.0,单位=A"
报文-修改(字段),0x2F6,PZCU_Monitor2_20ms,,DLC,8,16
信号-新增,0x2F6,PZCU_Monitor2_20ms,RRWndRippleAnti_PnchSts,定义,,"起始位=24,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x2F6,PZCU_Monitor2_20ms,RRWndRippleCurrent,定义,,"起始位=47,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x2F6,PZCU_Monitor2_20ms,RRWndRipplePeriod,定义,,"起始位=59,长度=10,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x2F6,PZCU_Monitor2_20ms,RRWndRipplePosCounter,定义,,"起始位=55,长度=12,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x393,PZCU_Monitor1_100ms,FACDrvFaceOtltTempTrg,定义,,"起始位=316,长度=11,字节序=Motorola(大端),因子=0.1,偏移=-40.0"
信号-新增,0x393,PZCU_Monitor1_100ms,FACDrvFootOtltTempTrg,定义,,"起始位=321,长度=11,字节序=Motorola(大端),因子=0.1,偏移=-40.0"
信号-新增,0x393,PZCU_Monitor1_100ms,FACPsngFaceOtltTempTrg,定义,,"起始位=342,长度=11,字节序=Motorola(大端),因子=0.1,偏移=-40.0"
信号-新增,0x393,PZCU_Monitor1_100ms,FACPsngFootOtltTempTrg,定义,,"起始位=347,长度=11,字节序=Motorola(大端),因子=0.1,偏移=-40.0"
信号-新增,0x393,PZCU_Monitor1_100ms,HeatcoreTarTemp,定义,,"起始位=167,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x393,PZCU_Monitor1_100ms,MotLoopTMModeDcsn,定义,,"起始位=153,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-删除,0x393,PZCU_Monitor1_100ms,FLACFaceOtltTempTrg,,,
信号-删除,0x393,PZCU_Monitor1_100ms,FLACFootOtltTempTrg,,,
信号-删除,0x393,PZCU_Monitor1_100ms,FRACFaceOtltTempTrg,,,
信号-删除,0x393,PZCU_Monitor1_100ms,FRACFootOtltTempTrg,,,
信号-修改,0x393,PZCU_Monitor1_100ms,MotCoolRsn,起始位,175,471
信号-修改,0x393,PZCU_Monitor1_100ms,MotCoolRsn,位长度,8,16
信号-修改,0x393,PZCU_Monitor1_100ms,MotCoolRsn,最大值,255.0,1023.0
信号-修改,0x393,PZCU_Monitor1_100ms,MotWarmRsn,起始位,153,455
信号-修改,0x393,PZCU_Monitor1_100ms,MotWarmRsn,位长度,10,16
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,ACAutoDryActv,定义,,"起始位=216,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,ACAutoDryOffCode,定义,,"起始位=239,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,AUTODryingSWSts,定义,,"起始位=210,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,AutoDfgFuncSts,定义,,"起始位=211,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,CbnHexTarT,定义,,"起始位=303,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,Delta2BEXV,定义,,"起始位=358,长度=11,字节序=Motorola(大端),因子=0.1,偏移=-40.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,Delta2EDC,定义,,"起始位=327,长度=11,字节序=Motorola(大端),因子=0.1,偏移=-40.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,Delta2EFEXV,定义,,"起始位=332,长度=11,字节序=Motorola(大端),因子=0.1,偏移=-40.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,Delta2OERV,定义,,"起始位=337,长度=11,字节序=Motorola(大端),因子=0.1,偏移=-40.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,DrvFaceAirOtltRunModSts,定义,,"起始位=287,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,DrvFaceAndFootTempDiff,定义,,"起始位=219,长度=3,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,ECOACSwSts,定义,,"起始位=213,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,FanCtrlTar,定义,,"起始位=263,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,FrtACDrvBlwrGearAutoSts,定义,,"起始位=223,长度=4,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,HiMotWstHeatOffCode,定义,,"起始位=255,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,LoMotWstHeatOffCode,定义,,"起始位=247,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,PM25PurifyFunSts,定义,,"起始位=212,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,PsngFaceAirOtltRunModSts,定义,,"起始位=295,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,PsngFaceAndFootTempDiff,定义,,"起始位=231,长度=3,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndHallCount,定义,,"起始位=431,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndHallCurDelta,定义,,"起始位=447,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndHallDeltaSum,定义,,"起始位=407,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndHallHold,定义,,"起始位=423,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndHallSpeed,定义,,"起始位=391,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndHallSpeedDelta,定义,,"起始位=439,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndRippleCount,定义,,"起始位=495,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndRippleDeltaSum,定义,,"起始位=471,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndRippleHold,定义,,"起始位=487,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndRippleInitnSts,定义,,"起始位=383,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndRippleLearnPos,定义,,"起始位=363,长度=12,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndRipplePcntPos,定义,,"起始位=382,长度=7,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndRippleSpeed,定义,,"起始位=455,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,RRWndRippleSpeedDelta,定义,,"起始位=503,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,SmallCoolRdy,定义,,"起始位=228,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,TMSDisCode,定义,,"起始位=319,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,UnlckdVentnSwSts,定义,,"起始位=208,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,VTMDisCode,定义,,"起始位=311,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,VTMHVControlCommand,定义,,"起始位=271,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,VTMLvPwrUseReq,定义,,"起始位=279,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x1FFC0001,PZCU_Monitor3_100ms,VentSWSts,定义,,"起始位=209,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
