变更类型,报文ID(HEX),报文名称,信号名称,变更字段,旧值,新值
报文-新增,0x20B,DZCU_BodySts7_20ms,,DLC,,8
报文-新增,0x20B,DZCU_BodySts7_20ms,,发送节点,,Vector_XXX
信号-新增,0x20B,DZCU_BodySts7_20ms,RRDoorHadlLghtBrghtSts,定义,,"起始位=25,长度=7,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
报文-新增,0x67B,PZCU_LIN_VerNum6,,DLC,,64
报文-新增,0x67B,PZCU_LIN_VerNum6,,发送节点,,PZCU
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM10_BTVerNum,定义,,"起始位=71,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM10_HWVerNum,定义,,"起始位=87,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM10_PreBTVerNum,定义,,"起始位=79,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM10_SWID,定义,,"起始位=119,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM10_SWVerNum,定义,,"起始位=103,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM11_BTVerNum,定义,,"起始位=135,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM11_HWVerNum,定义,,"起始位=151,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM11_PreBTVerNum,定义,,"起始位=143,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM11_SWID,定义,,"起始位=183,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM11_SWVerNum,定义,,"起始位=167,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM12_BTVerNum,定义,,"起始位=199,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM12_HWVerNum,定义,,"起始位=215,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM12_PreBTVerNum,定义,,"起始位=207,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM12_SWID,定义,,"起始位=247,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM12_SWVerNum,定义,,"起始位=231,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM13_BTVerNum,定义,,"起始位=263,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM13_HWVerNum,定义,,"起始位=279,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM13_PreBTVerNum,定义,,"起始位=271,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM13_SWID,定义,,"起始位=311,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM13_SWVerNum,定义,,"起始位=295,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM14_BTVerNum,定义,,"起始位=327,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM14_HWVerNum,定义,,"起始位=343,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM14_PreBTVerNum,定义,,"起始位=335,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM14_SWID,定义,,"起始位=375,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM14_SWVerNum,定义,,"起始位=359,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM15_BTVerNum,定义,,"起始位=391,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM15_HWVerNum,定义,,"起始位=407,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM15_PreBTVerNum,定义,,"起始位=399,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM15_SWID,定义,,"起始位=439,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM15_SWVerNum,定义,,"起始位=423,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM16_BTVerNum,定义,,"起始位=455,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM16_HWVerNum,定义,,"起始位=471,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM16_PreBTVerNum,定义,,"起始位=463,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM16_SWID,定义,,"起始位=503,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM16_SWVerNum,定义,,"起始位=487,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM9_BTVerNum,定义,,"起始位=7,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x67B,PZCU_LIN_VerNum6,ESAM9_HWVerNum,定义,,"起始位=23,长度=16,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
