变更类型,报文ID(HEX),报文名称,信号名称,变更字段,旧值,新值
节点-新增,,Vector_XXX,,,,
信号-修改,0x76,ESP_SysSts3_10ms,AxlePercRngDistbnFrntMax,最大值,0.9995999999999999,0.9996
信号-修改,0x76,ESP_SysSts3_10ms,AxlePercRngDistbnFrntMin,最大值,0.9995999999999999,0.9996
信号-新增,0x100,PZCU_VehSts_10ms,REOpngPhase_Test,定义,,"起始位=58,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-修改,0x100,PZCU_VehSts_10ms,VehSpd,最大值,460.64660000000003,460.6466
信号-修改,0x106,EPS_HWA_SysSts_10ms,EpsStrgAng,最大值,779.9000000000001,779.9
信号-修改,0x12C,BZCU_ASU_10ms,FAS_IInp_Fast_BZCU,最大值,49.96510000000001,49.9651
信号-修改,0x12C,BZCU_ASU_10ms,RAS_IInp_Fast_BZCU,最大值,49.96510000000001,49.9651
信号-修改,0x147,TCM_SASSts_10ms,SAS_StrgAng,最大值,779.9000000000001,779.9
信号-修改,0x167,CCU_RWSCmd_10ms,VehSpdEstd,最大值,460.64660000000003,460.6466
信号-修改,0x1A6,DPB_BZCU_Fr01_10ms,sInputRod,最大值,46.150000000000006,46.15
信号-修改,0x1C4,HWA_Info1_10ms,SBW_HWAAng,最大值,779.9000000000001,779.9
信号-修改,0x1F8,ESP_BZCU_PZCUFr02_10ms,YrsSensitivity,最大值,1.3499765536000001,1.3499765536
信号-新增,0x317,BZCU_EPBSts2_50ms,ROPPBrakeBackupStrategyState_Rig,定义,,"起始位=17,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x317,BZCU_EPBSts2_50ms,isBrkFuncReqParkBrkDominant_Righ,定义,,"起始位=31,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-删除,0x317,BZCU_EPBSts2_50ms,ROPPBrakeBackupStrategyState_Right,,,
信号-删除,0x317,BZCU_EPBSts2_50ms,isBrkFuncReqParkBrkDominant_Right,,,
